"product_id","community_id"
"TMI7066690589006","18298"
"PWS1688010012422","49865"
"AUC4281283034531","38728"
"QQM1684911622286","51931"
"OMA7388441131211","40959"
"AUC2008303995076","41813"
"AUC4122535851639","17114"
"AUC1696669374791","5662"
"AUC3663556282312","5914"
"AUC2008304467596","32309"
"AUC8466953742268","32161"
"VID8718475696940","41813"
"INS3663556137254","5914"
"DIO7388289381014","18298"
"VID5514412365169","41813"
"MAI3701030500290","12602"
"PAR2007830463683","45582"
"EJL1694560953186","18298"
"LEI1690618435289","12602"
"AUC3701521813786","12602"
"AUC3681626002868","17114"
"VID8720287072164","41961"
"AKO1689283152800","42480"
"RIL3573213298115","40959"
"ZJC1686307751043","45933"
"BES1688566833778","12945"
"PAR3560237597232","45582"
"HOM9584321313366","42480"
"AUC1695672170276","8150"
"AUC9388565453396","28434"
"VEN1693013576332","45582"
"DRF1696630660983","14101"
"AUC3537618092921","32161"
"OVO8001770961197","17114"
"AUC9339036787540","5662"
"VEN3517920926688","10283"
"DMO8052773561488","18128"
"INS3700732942414","5914"
"MIC5903614360261","11489"
"AUC3021881764727","17114"
"AUC9473563594384","20889"
"AUC3701613713482","49338"
"INS3700732943749","5914"
"INS3700732938059","5914"
"AUC7382550253369","46512"
"BES3701061723330","12945"
"VEN3517920967759","10283"
"VID8718475955115","32161"
"ATY1686801099521","51931"
"FDI1698345660547","30775"
"AUC8737752523717","17114"
"AUC3663556289878","23845"
"AUC3004873497193","23842"
"AUC1698157297929","12602"
"VEN3517920765287","12602"
"AUC9422759676557","28513"
"ATY1686725198521","40959"
"INS2008559909261","18128"
"AUC1695663438183","9536"
"HOM3663864100506","23842"
"AUC1686386086882","46512"
"WOV6054091091250","6893"
"FOL0699953439410","33972"
"YOS7434407561896","42927"
"FYD7633903446281","30775"
"FDI1689389769710","30775"
"KEE7048273724899","30775"
"DIO1696009426160","3466"
"AUC4803243589266","14680"
"OVO6003825741206","41813"
"AUC4269513833680","32161"
"TMI2008174722832","17114"
"ATY1686682160807","51931"
"AUC1692862829112","16966"
"VID8718475525097","32161"
"AUC9388565453327","28434"
"ATY1694631137674","35448"
"AUC5903614164371","5893"
"DIO1698403586390","11221"
"AUC1686386166000","46512"
"PAN1696923374684","45582"
"VID0705989464620","17114"
"AUC9112435681271","17114"
"SOD1691202603258","18298"
"AUC9098432710179","14680"
"VIN2008004318501","11221"
"VID8719883588803","45391"
"CUQ7048273768107","14101"
"AUC1696601399175","46259"
"VEN3666471009453","45582"
"OVO4936567784090","41813"
"EST1696291710881","41813"
"BET9472646603418","45933"
"DRF1696295355615","17620"
"QQM1687830553243","49865"
"AUC3701521815353","12602"
"EST9095269931586","51269"
"AUC5292652428843","22208"
"OVO4851746607536","41813"
"FYD7633903529151","51931"
"AUC9157908986101","41813"
"YOS0966479782307","35839"
"ITA3663556348605","5914"
"YES7605723704353","49323"
"DIL1693476509320","41813"
"VIN9112569176025","17114"
"ZJC7902196758914","9268"
"AUC1696664285838","24099"
"RIL3573213314051","39142"
"AUC3094814779167","5662"
"AUC3701521806955","10283"
"SAL7861358959593","49865"
"AUC9157908739035","41813"
"AUC1696672996580","46512"
"OVO3602028399479","17114"
"MEN8681875323665","12602"
"AUC4792289852161","14680"
"SAL1697162503323","49865"
"OVO3500605635210","41813"
"AUC4884145658106","28513"
"INS3663556353784","7057"
"AUC9780532961055","32161"
"AUC1695647206425","5290"
"HAB3700746477629","45582"
"STO5038517958236","41813"
"AUC3372736379703","17114"
"HAO6723387063676","29854"
"PAR2008873390134","45582"
"HAO6794969691679","9808"
"AUC6911354539617","17114"
"VID8719883667027","32161"
"AKO7370392283880","42927"
"EJL7613814568760","3466"
"HUR1694484621884","35448"
"MIC5903614343264","11489"
"DIO1689611343629","45933"
"AUC8720574926675","49540"
"FYD1686544859483","40959"
"ARA9586485989821","41813"
"AUC1695375928636","5662"
"OVO8191122469171","28513"
"KEX6743112175337","5662"
"HOM0750551287428","5662"
"OVO3597220309152","14680"
"QQM1684988497619","49865"
"AUC1692522126403","16966"
"AUC9388565452139","11221"
"OVO6436872712989","22208"
"VGE1698402492896","30775"
"AUC1695667695476","33972"
"OUT4957689485566","46512"
"SLI8004369216807","14680"
"VID8720286711835","45391"
"DIO1699461800965","43814"
"AUC1695667775329","5662"
"ANN1694499552445","6893"
"QQM1692194903902","45933"
"LVL2007997225704","41813"
"AUC9362673898638","17114"
"FYD7296591875063","11221"
"AUC1695714279631","18128"
"EJL7066690648437","18298"
"OVO3022748367815","17114"
"AUC8194124564882","28513"
"CHA8127650464999","18298"
"AUC2008481709649","17114"
"SUR7314626075544","43790"
"FDI1698402205874","30775"
"AUC3021881766509","14680"
"VGE1694760662236","35448"
"DIO7380739070912","32161"
"AUC4685069571591","17114"
"OVO8233848577423","20098"
"SAL7375281181964","41813"
"HAO6789553505500","29854"
"AUC1700490420266","12602"
"VID8718475910671","45391"
"AUC3004689474876","12602"
"AUC3115620574859","28513"
"PWS1690375104714","49865"
"ROK1685339207467","29854"
"HUR7848337269508","45933"
"AUC3300318802028","28513"
"CUQ7400446189292","11221"
"AUC8445146087553","11221"
"AUC0773092468484","46512"
"SKL8435719350184","32309"
"ZJC1695660643634","9268"
"DIO7380739432352","2100"
"INS3663556435596","12602"
"AUC1695709922805","9536"
"AUC1695663400072","9536"
"ZJC1686574951491","2100"
"AKO7686515037064","32161"
"VGE1694796128595","35448"
"AUC3094814778283","46512"
"FYD7296592074779","9268"
"AUC6980641713917","34620"
"FDI7063373563636","30775"
"OVO3763242501250","45933"
"QQM1692005624637","45933"
"AUC1695658455777","9536"
"AUC0798511923238","6893"
"YWE9063056412938","2525"
"TMI7414415896852","21600"
